geoid,os_1990_total,os_1990_cem,os_1990_rec,os_1990_cons,os_1990_priv,os_1990_trail,os_1990_water,os_1990_other,os_2001_total,os_2001_cem,os_2001_rec,os_2001_cons,os_2001_priv,os_2001_trail,os_2001_water,os_2001_other,os_2005_total,os_2005_cem,os_2005_rec,os_2005_cons,os_2005_priv,os_2005_trail,os_2005_water,os_2005_other,os_2010_total,os_2010_cem,os_2010_rec,os_2010_cons,os_2010_priv,os_2010_trail,os_2010_water,os_2010_other,os_2013_total,os_2013_cem,os_2013_rec,os_2013_cons,os_2013_priv,os_2013_trail,os_2013_water,os_2013_other,id
60120,6.35383,0.25415875,0.35965326,3.47387202,0.10930017,,1.07992888,1.07691817,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,6.68894,0.2765251,0.2830606,4.33112893,0.2028986,0.02782919,0.67250444,0.8949905,5.47011,0.25720389,0.30920232,4.32899198,0.1058054,0.08808447,0.16557268,0.21524643,5.52388,0.25720235,0.2992335,4.44264477,0.02573814,0.08968563,0.1427645,0.26660721,48
60126,1.38287,0.45502839,0.50814329,0.05592283,0.00057494,,0.07974484,0.28345866,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.37841,0.41532356,0.44798129,0.17027067,0.00051365,0.09170521,0.10062117,0.15199468,1.15778,0.36774397,0.51983904,0.18978455,,0.04639593,,0.03401467,1.15184,0.36774376,0.5261437,0.19624827,,0.04639582,,0.01530858,49
60130,1.30138,0.71075503,0.03065998,0.51301407,,,0.04219845,0.00475208,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.28248,0.71575379,0.03404661,0.48050352,,,0.03222864,0.01995069,1.27646,0.70526747,0.03309042,0.52310099,0.00021415,0.00149767,0.01221307,0.00108059,1.27741,0.70526963,0.03309044,0.52310094,0.00021415,0.00149765,0.01225034,0.001986,50
60131,0.321359,2.67e-06,0.02386651,0.02069993,,,0.02879265,0.24799728,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.273483,1e-06,0.03967065,0.02190377,0.00031342,,0.01065116,0.2009428,0.144862,,0.05341536,0.0176577,,,0.00330447,0.07048455,0.0956703,,0.05341544,0.01765624,,,0.0038796,0.02071898,51
60133,2.70893,0.01048734,0.23054648,1.61911733,,,0.44135541,0.40741867,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.82183,0.01248288,0.32685414,1.65125451,0.0362399,,0.38244431,0.41254974,1.99435,0.00993121,0.21155172,1.7214546,0.03234681,,0.00118668,0.01787797,1.99892,0.00993121,0.21156415,1.72455324,0.03234681,,8.064e-05,0.02044205,52
60137,2.13606,0.007554,0.34842747,0.271294,0.69757454,,0.26072481,0.55048712,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.99836,0.00992986,0.34435915,0.48893551,0.72646616,0.01656384,0.25841817,0.15369075,1.70377,0.01114629,0.37159674,0.43579943,0.74079655,0.07936372,0.00025717,0.06481232,1.68669,0.01114629,0.38688802,0.4226379,0.730104,0.07934055,0.00025717,0.05631477,53
60139,1.37805,,0.19030904,0.27291567,0.15256038,,0.23613107,0.52613132,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.05761,,0.24861362,0.32803906,0.16473546,,0.15139886,0.16482604,0.809962,,0.26897269,0.29642421,0.18266873,0.00025405,,0.06164254,0.802869,,0.26920631,0.29642305,0.18266696,0.00025405,,0.05431847,54
60143,2.90478,0.00572597,0.0716646,0.64898409,0.99018025,,0.32991,0.8583114,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.61233,0.00592815,0.12888561,0.75830306,0.98223868,,0.30684405,0.43012894,2.11023,0.00583223,0.21482808,0.72187163,1.00665852,,,0.16104067,2.15649,0.00583223,0.21503424,0.72082004,1.00663373,,,0.20816971,55
60148,2.37647,0.08550525,0.62770898,0.31015811,0.04937975,,0.41497339,0.8887492,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.0547,0.03859847,0.5904242,0.49392535,0.04856131,0.0433772,0.36264448,0.47716592,1.36921,0.03442612,0.66890393,0.48893261,0.04605668,0.09657781,2.757e-05,0.03428378,1.36561,0.03442522,0.66888775,0.46361205,0.04605676,0.09709195,2.757e-05,0.05550928,56
60153,0.318058,0.11440309,0.0744504,0.09257932,,,0.03505766,0.00156802,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.309725,0.1165426,0.0435178,0.09575081,0.01275487,0.0128995,0.02213422,0.00612557,0.306175,0.11835827,0.04032863,0.10441375,0.01128316,0.02380184,0.00518077,0.00280867,0.311532,0.11835829,0.04032864,0.10441376,0.01128316,0.02380181,0.00529294,0.00805292,57
60154,1.42418,0.2752514,0.07598828,0.74305505,0.15396312,,0.0173651,0.15855887,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.42128,0.27340095,0.1167111,0.86062536,0.15029899,,,0.02024784,1.76153,0.26310152,0.07177882,0.77250789,0.61786772,,,0.03627324,1.75071,0.26310193,0.07177883,0.7989947,0.61595161,,,0.00088472,58
60155,0.176491,0.02920425,0.03332615,0.08894822,,,,0.02501207,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.14918,0.02866359,0.02540476,0.08803099,,,,0.00708044,0.145259,0.02910845,0.02027112,0.08606913,,,0.00701114,0.00279894,0.148856,0.02910845,0.02027109,0.08606914,,,0.00948279,0.00392434,59
60157,0.393181,,0.05155144,0.00119808,0.14087138,,0.09358161,0.10597885,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.391675,,0.06039636,0.01399975,0.14043874,,0.11568304,0.06115698,0.241118,,0.05874306,0.04344055,0.13825101,,,0.00068326,0.297736,,0.05874389,0.09408009,0.13825348,,,0.00665902,60
60160,0.262712,,0.01592812,0.18947436,,,0.02146634,0.03584298,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.279809,,0.01513414,0.20258662,0.01459243,,0.01385804,0.03363766,0.229164,,0.01972299,0.17623951,0.01297813,0.00032927,0.01594109,0.00395296,0.233604,,0.019723,0.17712403,0.0129781,0.00032927,0.01901226,0.00443731,61
60162,1.15795,0.84168659,0.02542972,,0.26358416,,0.0207019,0.00655244,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.18228,0.839655,0.02504324,,0.24457963,0.01121524,0.00959272,0.05219526,1.14945,0.86661668,0.04161213,,0.22443739,0.01215538,,0.00462425,1.15543,0.86661756,0.04161212,,0.22443635,0.01215527,,0.01060694,62
60163,0.0439442,,0.01604919,,,,,0.02789504,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.047937,0.0023347,,,,0.01922094,0.00559213,0.02078923,0.0221167,0.00148764,0.00995291,,,0.00788577,,0.00279038,0.022645,0.00148764,0.00995345,,,0.00788576,,0.00331812,63
60164,0.197043,0.08755598,0.06808916,,,,0.03395551,0.00744246,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.235793,0.08146672,0.08278299,,,,0.00807202,0.06347095,0.200523,0.081517,0.09665576,,,0.00959578,0.00820463,0.00455001,0.213288,0.08151797,0.0977186,,,0.00959579,0.01099489,0.01346063,64
60165,0.00250854,,,,,,,,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,,,,,,,,,0.00284573,,0.00185355,,,0.00084709,,0.00014509,0.00284573,,0.00185355,,,0.00084709,,0.00014509,65
60169,2.52167,,0.22085171,1.33890512,0.52924891,,0.09177154,0.34088821,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.33343,,0.2293558,1.30526296,0.4573177,,0.13353135,0.20796345,2.03128,0.001258,0.2873023,1.28432448,0.42990997,,0.00935215,0.01913682,2.00026,0.00125802,0.28891143,1.28849304,0.39980606,,0.0028717,0.01892149,66
60171,0.991028,0.37642835,0.00486971,0.43884845,0.12311293,,0.04675582,0.00101227,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.913329,0.37109013,0.0051183,0.37524335,0.11667012,,0.0405075,0.00469949,0.927326,0.35815814,0.0042914,0.40721462,0.1154961,,0.03674202,0.00542332,0.928508,0.35815224,0.0042914,0.40720367,0.1156919,,0.0407834,0.00238569,67
